,exchange,combo,pom,eod
0,NSE,"['CNXENERGY', 'CNXINFRA', 'CNXIT']",0.7012987012987013,0.7792207792207793
0,NSE,"['CNXENERGY', 'CNXINFRA', 'CNXMEDIA']",0.7792207792207793,0.8181818181818182
0,NSE,"['CNXENERGY', 'CNXINFRA', 'CNXREALTY']",0.7792207792207793,0.8181818181818182
0,NSE,"['CNXENERGY', 'CNXINFRA', 'NSEBANK']",0.7215189873417721,0.7721518987341772
0,NSE,"['CNXENERGY', 'CNXIT', 'CNXMEDIA']",0.7272727272727273,0.8571428571428571
0,NSE,"['CNXENERGY', 'CNXIT', 'CNXREALTY']",0.7272727272727273,0.8571428571428571
0,NSE,"['CNXENERGY', 'CNXIT', 'NSEBANK']",0.6708860759493671,0.7215189873417721
0,NSE,"['CNXENERGY', 'CNXMEDIA', 'CNXREALTY']",0.7142857142857143,0.8571428571428571
0,NSE,"['CNXENERGY', 'CNXMEDIA', 'NSEBANK']",0.7215189873417721,0.8481012658227848
0,NSE,"['CNXENERGY', 'CNXREALTY', 'NSEBANK']",0.6835443037974683,0.759493670886076
0,NSE,"['CNXFMCG', 'CNXINFRA', 'CNXIT']",0.7792207792207793,0.8181818181818182
0,NSE,"['CNXFMCG', 'CNXINFRA', 'CNXMEDIA']",0.7792207792207793,0.8181818181818182
0,NSE,"['CNXFMCG', 'CNXINFRA', 'CNXREALTY']",0.7792207792207793,0.8181818181818182
0,NSE,"['CNXFMCG', 'CNXINFRA', 'NSEBANK']",0.7721518987341772,0.810126582278481
0,NSE,"['CNXFMCG', 'CNXIT', 'CNXMEDIA']",0.7662337662337663,0.7532467532467533
0,NSE,"['CNXFMCG', 'CNXIT', 'CNXREALTY']",0.7662337662337663,0.7532467532467533
0,NSE,"['CNXFMCG', 'CNXIT', 'NSEBANK']",0.7341772151898734,0.7088607594936709
0,NSE,"['CNXFMCG', 'CNXMEDIA', 'CNXREALTY']",0.8571428571428571,0.8051948051948052
0,NSE,"['CNXFMCG', 'CNXMEDIA', 'NSEBANK']",0.7341772151898734,0.759493670886076
0,NSE,"['CNXFMCG', 'CNXREALTY', 'NSEBANK']",0.7341772151898734,0.759493670886076
0,NSE,"['CNXINFRA', 'CNXIT', 'CNXMEDIA']",0.7792207792207793,0.8181818181818182
0,NSE,"['CNXINFRA', 'CNXIT', 'CNXREALTY']",0.7792207792207793,0.8181818181818182
0,NSE,"['CNXINFRA', 'CNXIT', 'NSEBANK']",0.6455696202531646,0.7721518987341772
0,NSE,"['CNXINFRA', 'CNXMEDIA', 'CNXREALTY']",0.7792207792207793,0.8181818181818182
0,NSE,"['CNXINFRA', 'CNXMEDIA', 'NSEBANK']",0.7721518987341772,0.810126582278481
0,NSE,"['CNXINFRA', 'CNXREALTY', 'NSEBANK']",0.7721518987341772,0.810126582278481
0,NSE,"['CNXIT', 'CNXMEDIA', 'CNXREALTY']",0.7662337662337663,0.7532467532467533
0,NSE,"['CNXIT', 'CNXMEDIA', 'NSEBANK']",0.7341772151898734,0.759493670886076
0,NSE,"['CNXIT', 'CNXREALTY', 'NSEBANK']",0.7341772151898734,0.759493670886076
0,NSE,"['CNXMEDIA', 'CNXREALTY', 'NSEBANK']",0.7341772151898734,0.7721518987341772
0,NSE,"['CNXAUTO', 'CNXCMDT', 'CNXCONSUM', 'CNXENERGY']",0.782051282051282,0.7692307692307693
0,NSE,"['CNXAUTO', 'CNXCMDT', 'CNXCONSUM', 'CNXFMCG']",0.8076923076923077,0.7435897435897436
0,NSE,"['CNXAUTO', 'CNXCMDT', 'CNXCONSUM', 'CNXINFRA']",0.7564102564102564,0.7692307692307693
0,NSE,"['CNXAUTO', 'CNXCMDT', 'CNXCONSUM', 'CNXIT']",0.717948717948718,0.717948717948718
0,NSE,"['CNXAUTO', 'CNXCMDT', 'CNXCONSUM', 'CNXMEDIA']",0.7564102564102564,0.7692307692307693
0,NSE,"['CNXAUTO', 'CNXCMDT', 'CNXCONSUM', 'CNXREALTY']",0.7564102564102564,0.7692307692307693
0,NSE,"['CNXAUTO', 'CNXCMDT', 'CNXCONSUM', 'NSEBANK']",0.6835443037974683,0.7341772151898734
0,NSE,"['CNXAUTO', 'CNXCMDT', 'CNXENERGY', 'CNXFMCG']",0.7564102564102564,0.7948717948717948
